Index,Title,Authors,Publishers,Reading status,Created date,Started date,Read date,Stopped date,Rating,Note1,Note2,Note3,Note4
1,내가 가진 것을 세상이 원하게 하라 (2024년 성장 에디션) - 최인아 대표가 축적한 일과 삶의 인사이트,최인아 ,해냄,Done,2024-08-27,2024-08-17,2024-08-24,,5,,,,
2,The Curious Incident of the Dog in the Night-Time (Paperback) - 『한밤중에 개에게 일어난 의문의 사건』원서,Haddon  Mark ,Vintage Books,Done,2024-08-27,2024-06-22,2024-06-26,,4,,,,
3,Quantum Computation and Quantum Information : 10th Anniversary Edition (Hardcover),마이클 닐슨 ,Cambridge Univ Pr,Reading,2024-08-27,2024-08-27,,,0,,,,
4,Quantum Information (Paperback),Stephen M. Barnett ,Oxford Univ Pr,Reading,2024-08-27,2024-08-27,,,0,,,,
5,나의 아름다운 정원 - 제7회 한겨레문학상 수상작  개정판,심윤경 ,한겨레출판,Done,2024-09-01,2024-09-01,2024-09-02,,5,,,,
6,설이 - 심윤경 장편소설,심윤경 ,한겨레출판,Done,2024-09-28,2024-09-27,2024-09-28,,3,,,,
7,생존력 - 직장인을 위한 생존 매뉴얼,홍석희 ,사람북닷컴,Done,2024-09-28,2024-09-28,2024-09-30,,5,,,,
8,생生 존zone 십ship : 협력개인의 출현,구정우 ,쌤앤파커스,Done,2024-09-30,2024-09-30,2024-11-01,,5,,,,
9,원청 - 잃어버린 도시,위화  문현선 ,푸른숲,Done,2024-10-01,2024-10-01,2024-10-03,,4.5,,,,
10,스토너 (초판본  양장),존 윌리엄스  김승욱 ,알에이치코리아(RHK),Done,2024-10-04,2024-10-03,2024-10-04,,5,,,,
11,구의 증명,최진영  김다올  정혜원  석미라  김세란 ,은행나무,Done,2024-10-06,2024-10-06,2024-10-08,,3.5,,,,
12,삼국지 1 - 도원·군성,요시카와 에이지  나관중  김대환 ,잇북(Itbook),Done,2024-10-09,2024-10-09,2024-10-12,,5,,,,
13,카라마조프가의 형제들 1,표도르 도스토옙스키  진형준 ,살림,Done,2024-10-09,2024-10-09,2024-10-19,,4,,,,
14,소년이 온다,한강 ,창비,Done,2024-10-11,2024-10-11,2024-10-12,,5,,,,
15,채식주의자 (리마스터판) - 2024 노벨문학상 수상작가,한강 ,창비,Done,2024-10-12,2024-10-12,2024-10-13,,4.5,,,,
16,삼국지 2 - 초망·신도,요시카와 에이지  나관중  김대환 ,잇북(Itbook),Reading,2024-10-12,2024-10-12,,,0,,,,
17,체호프 단편선,안톤 파블로비치 체호프  김학수 ,문예출판사,Reading,2024-10-12,2024-10-12,,,0,,,,
18,검은 사슴,한강 ,문학동네,Done,2024-10-16,2024-10-15,2025-01-10,,5,,,,
19,와일드 로봇,피터 브라운  엄혜숙 ,거북이북스,Done,2024-10-19,2024-10-18,2024-10-19,,2,,,,
20,사람은 무엇으로 사는가 (러시아 원전 번역) - 톨스토이 단편선,레프 니콜라예비치 톨스토이  이순영 ,문예출판사,Done,2024-10-19,2024-12-08,2024-12-15,,3.5,,,,
21,죄와 벌 - 상,표도르 도스토예프스키  김희숙 ,을유문화사,Done,2024-10-19,2024-10-19,2024-11-18,,4,,,,
